symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
HC,1,1d,donchian_atr,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh24|cd4|atr14|am3.5|ex24|mom48|vol48|th0.4|strict,14984.758890552272,10424.5705,-1859.705249999999,11,0.0,0.0,0.0,0,2016-08-17 00:00:00,2019-01-22 00:00:00
HC,2,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|strict,17006.8754421656,25837.28657142857,-5455.268142857141,49,4478.209999999998,-5199.008857142855,0.375,24,2019-01-23 00:00:00,2021-07-07 00:00:00
HC,3,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|strict,19013.269921313502,31888.30942857142,-5628.106714285714,73,2720.573714285709,-4581.596285714291,0.5,16,2021-07-08 00:00:00,2023-12-15 00:00:00
HC,4,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|strict,20230.924992169377,34608.88314285713,-5628.106714285714,89,4895.624285714285,-4697.989714285706,0.41935483870967744,31,2023-12-18 00:00:00,2026-06-05 00:00:00
C,1,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,7744.943477327296,2898.5966428571414,-1784.3126428571431,14,3347.290285714287,-1562.4568571428572,0.6666666666666666,12,2009-04-13 00:00:00,2013-07-24 00:00:00
C,2,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr10|am3|ex16|mom48|vol48|th0.9|strict,11002.685147695243,6820.621700000003,-2880.300400000002,26,-1389.711799999995,-2880.9157999999943,0.18181818181818182,11,2013-07-25 00:00:00,2017-11-01 00:00:00
C,3,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr10|am3|ex16|mom48|vol48|th0.9|strict,7080.438762993144,5430.909900000009,-3720.531999999992,37,-2366.629499999998,-3329.052399999997,0.14285714285714285,14,2017-11-02 00:00:00,2022-02-16 00:00:00
C,4,1d,trend_failure,trend_failure|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|aggressive,7089.667869523027,12735.940584000069,-5058.712285999987,123,5996.924400000026,-2296.039194999992,0.40625,32,2022-02-17 00:00:00,2026-06-05 00:00:00
SP,1,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am2|ex16|mom48|vol48|th0.9|strict,19487.1036,7598.207199999999,-1180.0,3,-668.5943999999963,-1168.5943999999963,0.0,1,2020-06-01 00:00:00,2021-11-26 00:00:00
SP,2,1d,breakout,breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,13208.149979754406,29537.152030000037,-8179.666359999983,26,6652.013940000023,-8321.00153999998,0.2,10,2021-11-29 00:00:00,2023-05-30 00:00:00
SP,3,1d,breakout,breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,21176.53783053135,45805.98480000006,-8321.001539999983,35,309.93400000000685,-6562.199119999987,0.2727272727272727,11,2023-05-31 00:00:00,2024-11-28 00:00:00
SP,4,1d,breakout,breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,20465.775904071706,45344.77019000007,-8321.001539999983,47,4112.251220000031,-6275.238619999976,0.3076923076923077,13,2024-11-29 00:00:00,2026-06-05 00:00:00
SR,1,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|strict,14206.546521428576,9000.81528571429,-2514.0123571428558,8,11886.139714285713,-5510.830642857143,0.36363636363636365,11,2010-01-29 00:00:00,2014-03-11 00:00:00
SR,2,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am3.5|ex12|mom24|vol48|th0.8|strict,21126.368665000005,24788.958800000004,-3006.2341499999966,12,1584.5890500000019,-2759.848949999998,1.0,3,2014-03-12 00:00:00,2018-03-28 00:00:00
SR,3,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am3.5|ex12|mom24|vol48|th0.8|strict,22981.163190000003,26373.547850000006,-3006.2341499999966,15,-3996.051550000002,-6601.1605500000005,0.25,4,2018-03-29 00:00:00,2022-04-28 00:00:00
SR,4,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am3.5|ex12|mom24|vol48|th0.8|strict,16168.432279638319,23163.074850000008,-6601.160550000008,19,11118.499000000005,-3636.6860999999953,0.5714285714285714,7,2022-04-29 00:00:00,2026-06-05 00:00:00
SA,1,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict,12458.079214285715,1159.693571428572,-690.852857142856,3,-336.9794285714279,-1337.940285714284,0.5,6,2025-11-10 11:15:00,2025-12-26 10:00:00
SA,2,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict,8143.722052717417,1182.714142857144,-1414.7918571428581,9,-824.830428571428,-1436.4152857142872,0.4,5,2025-12-26 11:15:00,2026-02-24 22:00:00
SA,3,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict,11092.199465406291,2040.2597142857162,-1414.7918571428581,13,1486.3938571428598,-1534.0692857142858,0.8,5,2026-02-24 23:00:00,2026-04-15 10:00:00
SA,4,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr14|am2.5|ex8|mom48|vol48|th0.4|strict,12431.042700521717,3821.597928571429,-1499.749071428576,18,500.51664285713827,-879.2066428571452,0.3333333333333333,6,2026-04-15 11:15:00,2026-06-05 23:00:00
UR,1,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal,13320.437814285715,1165.0515714285739,-916.2088571428576,4,-603.6068571428559,-1730.776857142855,0.2,5,2025-12-29 14:15:00,2026-02-05 09:30:00
UR,2,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh48|cd4|atr20|am3|ex12|mom24|vol24|th0.4|strict,6145.754277577011,543.396100000001,-899.6704000000009,16,1895.1461,-1274.164800000004,0.625,8,2026-02-05 10:00:00,2026-03-20 13:45:00
UR,3,30m,tsmom_vol,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh48|cd4|atr14|am3.5|ex12|mom24|vol24|th0.4|strict,8362.402627415935,2693.0875,-1535.1545000000024,23,1253.2900000000002,-1272.1100000000006,0.14285714285714285,7,2026-03-20 14:15:00,2026-04-28 09:30:00
UR,4,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.75|strict,14030.427071428572,4392.854142857144,-740.0,3,0.0,0.0,0.0,0,2026-04-28 10:00:00,2026-06-05 15:00:00
RM,1,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh24|cd4|atr20|am3.5|ex16|mom48|vol48|th0.4|signal,13735.634599999998,790.799,-246.96100000000115,4,405.5629749999963,-1266.8590750000021,0.5,6,2026-02-25 10:00:00,2026-03-20 09:30:00
RM,2,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh24|cd4|atr20|am3.5|ex16|mom48|vol48|th0.4|signal,8086.723049222587,748.4067749999945,-1266.8590750000021,10,1750.798,-242.30299999999988,1.0,4,2026-03-20 10:00:00,2026-04-15 13:45:00
RM,3,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr10|am2|ex8|mom48|vol48|th0.9|strict,17029.428600000003,940.9450000000019,-212.27100000000064,3,0.0,0.0,0.0,0,2026-04-15 14:15:00,2026-05-13 21:30:00
RM,4,30m,vol_breakout,vol_breakout|both|30m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr10|am2|ex8|mom48|vol48|th0.9|strict,17002.183600000004,1016.6328000000036,-284.59200000000055,4,0.0,0.0,0.0,0,2026-05-13 22:00:00,2026-06-05 23:00:00
FG,1,1d,failed_breakout,failed_breakout|short|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|aggressive,5048.226826269263,3627.763449999982,-2268.3157380000066,20,-1099.9128480000243,-5561.455220000011,0.22727272727272727,22,2015-08-17 00:00:00,2018-04-26 00:00:00
FG,2,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,4627.406934667935,2921.99014285714,-4310.482571428572,13,8209.801571428572,-3542.922285714285,0.6666666666666666,6,2018-04-27 00:00:00,2021-01-05 00:00:00
FG,3,1d,vol_breakout,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,10242.238452470465,11131.791714285711,-4310.482571428572,19,-621.6675714285694,-1621.6675714285693,0.0,1,2021-01-06 00:00:00,2023-09-12 00:00:00
FG,4,1d,donchian_atr,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex8|mom48|vol48|th0.4|signal,12281.379116848879,39794.044857142864,-11417.570999999998,75,8145.363999999996,-7617.298857142857,0.5294117647058824,17,2023-09-13 00:00:00,2026-06-05 00:00:00
CJ,1,15m,trend_failure,trend_failure|both|15m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|signal,12098.744730601535,1594.3437450000079,-1080.841254999992,4,1057.53,-633.8724999999995,1.0,4,2026-03-17 11:00:00,2026-04-03 15:00:00
CJ,2,15m,trend_failure,trend_failure|both|15m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|signal,15521.93099300001,2676.876245000008,-1080.841254999992,8,-417.945,-942.8649999999998,0.25,4,2026-04-07 09:15:00,2026-04-24 11:30:00
CJ,3,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh24|cd4|atr10|am3|ex16|mom48|vol48|th0.4|aggressive,10758.19334251506,1139.42,-1100.5607499999987,8,241.20449999999994,-563.5030000000006,0.6666666666666666,3,2026-04-24 13:45:00,2026-05-19 09:45:00
CJ,4,15m,vol_breakout,vol_breakout|both|15m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.9|aggressive,11186.305871745464,629.4889285714326,-875.0185714285672,3,640.8475000000001,-684.2124999999996,1.0,2,2026-05-19 10:00:00,2026-06-05 15:00:00
RB,1,1d,trend_failure,trend_failure|short|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,18877.65839304546,21021.646780000017,-2875.233834999999,11,17836.423200000016,-2304.5759949999956,0.6,15,2012-08-28 00:00:00,2016-02-05 00:00:00
RB,2,1d,trend_failure,trend_failure|short|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,28197.093769269246,38858.06998000003,-2875.233834999999,26,2950.1053050000255,-4531.48731499998,0.3,10,2016-02-15 00:00:00,2019-07-12 00:00:00
RB,3,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom24|vol24|th0.4|strict,27550.634445790824,50050.126,-6252.447799999998,120,2485.2090000000007,-12150.816600000006,0.36666666666666664,30,2019-07-15 00:00:00,2022-12-16 00:00:00
RB,4,1d,tsmom_vol,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2.5|ex12|mom24|vol24|th0.4|strict,27991.799343903218,53711.52325,-7730.263749999991,104,-4902.676,-9326.141000000005,0.28205128205128205,39,2022-12-19 00:00:00,2026-06-05 00:00:00
