symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
SP,1,30m,ensemble_trend,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2026-02-25 10:00:00,2026-03-20 09:30:00
SP,2,30m,ensemble_trend,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-10107.99576517506,129.58399999999995,-645.0799999999999,2,-1610.22,-1660.2839999999997,0.0,2,2026-03-20 10:00:00,2026-04-15 13:45:00
SP,3,30m,ensemble_trend,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-2365.1649997302916,-1480.636,-2305.3639999999996,4,-485.064,-510.08200000000033,0.0,1,2026-04-15 14:15:00,2026-05-13 21:30:00
SP,4,30m,ensemble_trend,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,-5875.76187900472,-2170.8399999999997,-3045.7440000000006,6,-49.78399999999999,-609.768,0.5,2,2026-05-13 22:00:00,2026-06-05 23:00:00
CJ,1,60m,ensemble_trend,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,1476.3102499999986,5989.837500000001,-1409.5650000000005,2,-910.9000000000001,-1291.2425000000003,0.0,2,2025-07-30 11:15:00,2025-10-17 10:00:00
CJ,2,60m,ensemble_trend,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,11814.445249999999,5148.2375,-2677.415000000001,5,95.35249999999999,-1025.0,1.0,1,2025-10-17 11:15:00,2025-12-29 10:00:00
CJ,3,60m,ensemble_trend,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,14412.179107142854,7888.64,-2932.5375000000004,7,0.0,0.0,0.0,0,2025-12-29 11:15:00,2026-03-20 10:00:00
CJ,4,60m,ensemble_trend,ensemble_trend|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,14412.179107142854,7888.64,-2932.5375000000004,7,45.375,-679.625,1.0,1,2026-03-20 11:15:00,2026-06-05 15:00:00
SR,1,30m,ensemble_trend,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,-635.444,-925.4439999999995,0.0,1,2026-02-25 10:00:00,2026-03-20 09:30:00
SR,2,30m,ensemble_trend,ensemble_trend|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2026-03-20 10:00:00,2026-04-15 13:45:00
