symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
SR,1,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.4|tq0.2|strict,5379.379444974835,-211.42600000000002,-907.6139999999996,6,-37.86800000000028,-1858.0070000000005,0.2857142857142857,7,2026-02-25 10:00:00,2026-03-20 09:30:00
SR,2,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.4|tq0.2|strict,4939.158044873576,284.7929999999998,-1858.0070000000005,16,487.7600000000001,-988.152000000001,0.3333333333333333,6,2026-03-20 10:00:00,2026-04-15 13:45:00
SR,3,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,5642.079441988002,397.72699999999986,-1705.991,21,-967.1220000000001,-1378.949999999999,0.2,5,2026-04-15 14:15:00,2026-05-13 21:30:00
SR,4,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|tq0.2|strict,3448.7954142234003,-84.52900000000021,-2577.830000000001,27,818.5,-541.5450000000001,0.75,4,2026-05-13 22:00:00,2026-06-05 23:00:00
SP,1,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.2|strict,7680.5401487097815,133.53999999999996,-1101.0319999999983,5,-1191.4560000000001,-2197.92,0.16666666666666666,6,2026-02-25 10:00:00,2026-03-20 09:30:00
SP,2,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,359.2342321494059,-947.3359999999999,-2219.344000000001,9,-625.226,-1235.3539999999994,0.4,5,2026-03-20 10:00:00,2026-04-15 13:45:00
SP,3,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,1516.2003636953127,-763.008,-2219.344000000001,16,354.478,-790.5860000000011,0.4,5,2026-04-15 14:15:00,2026-05-13 21:30:00
SP,4,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,238.3226286815202,-1113.7120000000004,-2497.0040000000017,22,-309.45199999999994,-1333.9179999999978,0.16666666666666666,6,2026-05-13 22:00:00,2026-06-05 23:00:00
SP,1,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.2|strict,6731.502215534365,-340.884,-2925.0779999999995,4,1147.1860000000001,-2709.804000000002,0.3333333333333333,6,2025-11-10 11:15:00,2025-12-26 10:00:00
SP,2,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.2|strict,5886.140219864155,1886.2859999999994,-2925.0779999999995,10,-117.55000000000001,-1952.152,0.42857142857142855,7,2025-12-26 11:15:00,2026-02-24 22:00:00
SP,3,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.4|tq0.3|strict,3275.9805029538466,659.5419999999995,-3392.428,15,-1101.248,-2622.133999999999,0.375,8,2026-02-24 23:00:00,2026-04-15 10:00:00
SP,4,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.4|tq0.3|strict,-4267.04823420725,-1626.9580000000005,-6241.083999999998,24,289.92399999999986,-1960.6179999999995,0.5,6,2026-04-15 11:15:00,2026-06-05 23:00:00
CJ,1,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.4|tq0.3|strict,15613.158500000001,6160.1224999999995,-4685.447499999998,3,-4227.6025,-5713.492499999999,0.2,5,2025-07-30 11:15:00,2025-10-17 10:00:00
CJ,2,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.2|strict,12856.174521293586,10050.73,-3136.067500000001,14,-2606.965,-7129.945000000001,0.42857142857142855,7,2025-10-17 11:15:00,2025-12-29 10:00:00
CJ,3,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,8214.377059571485,9843.5675,-5641.185000000001,16,-2801.53,-3898.7975000000006,0.16666666666666666,6,2025-12-29 11:15:00,2026-03-20 10:00:00
CJ,4,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,4076.2982946583807,6208.029999999998,-5644.23750000001,24,-97.92000000000007,-1752.54,0.4,5,2026-03-20 11:15:00,2026-06-05 15:00:00
SR,1,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|tq0.2|strict,-2029.8357147532097,-1357.3520000000003,-1434.6860000000006,5,1813.652,-805.3809999999994,0.4,5,2025-11-10 11:15:00,2025-12-26 10:00:00
SR,2,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|tq0.2|strict,3960.611769098714,755.3539999999996,-1876.616000000001,12,-121.1820000000001,-1576.4920000000002,0.5,6,2025-12-26 11:15:00,2026-02-24 22:00:00
SR,3,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.4|tq0.3|strict,4066.2968789085317,487.8469999999999,-2212.7729999999992,21,327.652,-1472.682999999999,0.5,6,2026-02-24 23:00:00,2026-04-15 10:00:00
SR,4,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|tq0.2|strict,5661.797816483152,1326.1419999999994,-1876.616000000001,27,-562.4050000000002,-1282.7179999999998,0.3333333333333333,6,2026-04-15 11:15:00,2026-06-05 23:00:00
CJ,1,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.2|strict,15752.559999999998,6975.12,-2150.0,5,-1429.365,-1625.0,0.0,1,2020-09-25 00:00:00,2022-03-01 00:00:00
CJ,2,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.2|strict,7728.627314748426,3740.76,-3493.5,7,-1446.0575,-6110.462500000001,0.25,4,2022-03-02 00:00:00,2023-07-27 00:00:00
CJ,3,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,627.651249999999,3195.3025,-800.0,1,0.0,0.0,0.0,0,2023-07-28 00:00:00,2024-12-25 00:00:00
CJ,4,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,627.651249999999,3195.3025,-800.0,1,-1579.74,-2704.74,0.0,1,2024-12-26 00:00:00,2026-06-05 00:00:00
SP,1,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol24|th0.4|tq0.2|strict,12163.288999999999,781.9760000000001,-1989.1100000000006,4,1406.3680000000002,-2140.0,0.3333333333333333,3,2020-06-01 00:00:00,2021-11-26 00:00:00
SP,2,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.4|tq0.2|strict,18545.302314285713,28832.138,-5927.836000000001,14,0.0,0.0,0.0,0,2021-11-29 00:00:00,2023-05-30 00:00:00
SP,3,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.4|tq0.2|strict,18545.302314285713,28832.138,-5927.836000000001,14,682.3240000000005,-3631.7780000000002,0.3333333333333333,3,2023-05-31 00:00:00,2024-11-28 00:00:00
SP,4,1d,quality_tsmom,quality_tsmom|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.4|tq0.2|strict,18158.733202725834,29514.462,-5927.836000000001,17,2191.104000000001,-6567.7119999999995,0.38461538461538464,13,2024-11-29 00:00:00,2026-06-05 00:00:00
UR,1,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,9488.9346,2242.7380000000003,-813.8160000000007,5,-217.00399999999996,-1093.2159999999994,0.2,5,2025-07-30 11:15:00,2025-10-17 10:00:00
UR,2,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.8|tq0.2|strict,6690.216763906259,2291.704,-2548.814000000002,14,-2546.568,-3586.3359999999993,0.125,8,2025-10-17 11:15:00,2025-12-29 10:00:00
UR,3,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.8|tq0.2|strict,427.85841741557147,-278.1419999999997,-5142.356000000002,23,-2521.764,-2896.286000000003,0.16666666666666666,6,2025-12-29 11:15:00,2026-03-20 10:00:00
UR,4,60m,quality_tsmom,quality_tsmom|both|60m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.8|tq0.2|strict,-7377.994653074182,-2479.9259999999995,-6825.674000000002,29,1946.1360000000004,-2029.2279999999992,0.3333333333333333,9,2026-03-20 11:15:00,2026-06-05 15:00:00
CJ,1,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom24|vol48|th0.8|tq0.2|strict,5763.272133363903,-527.1949999999997,-2222.9924999999994,6,561.6424999999999,-1413.6924999999992,0.6666666666666666,3,2025-12-29 14:15:00,2026-02-05 09:30:00
