symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
SR,1,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,13599.381099999999,668.817,-330.58600000000115,4,493.916,-371.367000000002,0.6666666666666666,3,2026-04-14 09:30:00,2026-04-24 22:30:00
SR,2,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,13624.422174706997,768.698,-301.2250000000022,4,-520.924,-551.8969999999999,0.0,2,2026-04-24 22:45:00,2026-05-13 09:45:00
SR,3,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,6894.073770415691,247.774,-757.2959999999985,6,-6.2549999999999955,-265.39899999999943,0.6666666666666666,3,2026-05-13 10:00:00,2026-05-25 23:00:00
SR,4,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,6823.641113016526,399.11699999999996,-1334.5669999999973,15,599.281,-225.39199999999983,0.5,2,2026-05-26 09:15:00,2026-06-05 23:00:00
SP,1,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,10339.19939058687,304.128,-650.5519999999997,3,1044.384,-1165.3099999999995,0.3333333333333333,3,2026-02-25 10:00:00,2026-03-20 09:30:00
SP,2,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,5114.544485363278,988.548,-1391.7099999999982,6,-2325.306,-3305.5779999999986,0.2,5,2026-03-20 10:00:00,2026-04-15 13:45:00
SP,3,30m,donchian_atr,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,2695.988597234573,406.5899999999999,-2145.499999999999,18,-490.5,-1520.6679999999997,0.5,6,2026-04-15 14:15:00,2026-05-13 21:30:00
SP,4,30m,quality_tsmom,quality_tsmom|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol48|th0.8|tq0.3|strict,238.3226286815202,-1113.7120000000004,-2497.0040000000017,22,-309.45199999999994,-1333.9179999999978,0.16666666666666666,6,2026-05-13 22:00:00,2026-06-05 23:00:00
SP,1,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am2|ex12|mom48|vol48|th0.8|strict,930.3320337203552,-465.274,-805.4520000000002,5,409.382,-860.5599999999995,0.5,6,2026-04-14 09:30:00,2026-04-24 22:30:00
SP,2,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,6062.845621715835,149.65200000000004,-1440.3319999999994,6,-830.15,-880.3780000000006,0.0,2,2026-04-24 22:45:00,2026-05-13 09:45:00
SP,3,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.4|strict,5704.975119823827,653.7539999999998,-1920.5980000000009,17,455.01199999999994,-719.7780000000002,0.4,5,2026-05-13 10:00:00,2026-05-25 23:00:00
SP,4,15m,tsmom_vol,tsmom_vol|both|15m|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol24|th0.4|strict,6448.5328417757455,1503.6099999999997,-1920.5980000000009,23,275.58199999999994,-659.4800000000014,0.4,5,2026-05-26 09:15:00,2026-06-05 23:00:00
