symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
SA,1d,85387.144,-19835.787000000004,0.45454545454545453,3.048487121628667,44,1148.96,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh64|cd4|atr10|am2.5|ex12|mom48|vol48|th0.4|signal
SA,1d,85167.162,-19835.787000000004,0.45454545454545453,3.043209625826838,44,128.97800000000024,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am2.5|ex12|mom48|vol48|th0.4|signal
SA,1d,81709.52,-20790.8825,0.46511627906976744,2.904621913546253,43,2711.478000000002,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh64|cd4|atr10|am2.5|ex16|mom48|vol48|th0.4|signal
SA,1d,81489.538,-20790.8825,0.46511627906976744,2.8994942058105355,43,1691.496,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am2.5|ex16|mom48|vol48|th0.4|signal
SA,1d,80994.26680000001,-25603.91819999998,0.5405405405405406,2.969993139220013,37,5628.992,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|signal
SA,1d,79454.28480000001,-25603.918199999986,0.5405405405405406,2.9325367352746126,37,4609.01,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex16|mom48|vol48|th0.4|signal
SA,1d,74784.3824,-23417.699599999985,0.5,2.770219489240509,40,625.7521999999992,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex12|mom48|vol48|th0.4|signal
SA,1d,73172.41685714286,-24590.27242857142,0.5263157894736842,2.666810825523903,38,4660.327999999999,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
SA,1d,71627.46459999999,-26338.003199999992,0.5428571428571428,2.771830756651104,35,5852.002999999999,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh64|cd4|atr10|am3.5|ex16|mom48|vol48|th0.4|signal
SA,1d,70087.48259999999,-26338.0032,0.5428571428571428,2.7337366053709107,35,4832.020999999999,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3.5|ex16|mom48|vol48|th0.4|signal
SA,1d,66252.39007142861,-23471.56678571427,0.425531914893617,2.3161267819901776,47,1744.8784999999987,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|signal
SA,1d,65189.259500000015,-21835.587000000003,0.48717948717948717,2.7724290405859593,39,181.5424999999986,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb24|sl0.015|mh64|cd4|atr10|am2.5|ex12|mom48|vol48|th0.4|signal
HC,1d,63378.5225,-10691.448999999993,0.5853658536585366,2.322113446987397,82,13751.121749999998,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh24|cd4|atr14|am3.5|ex16|mom48|vol48|th0.4|signal
SA,1d,63275.757999999994,-19835.787,0.44680851063829785,2.417555262290228,47,108.97599999999984,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr10|am2.5|ex12|mom48|vol48|th0.4|signal
HC,1d,61348.06225800012,-21676.716589999967,0.2761904761904762,2.4109043518313142,105,11221.252403000042,trend_failure|both|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|strict
HC,1d,61348.06225800012,-21676.716589999967,0.2761904761904762,2.4109043518313142,105,11221.252403000042,trend_failure|both|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|aggressive
HC,1d,61348.06225800012,-21676.716589999967,0.2761904761904762,2.4109043518313142,105,11221.252403000042,trend_failure|both|1d|w2|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|signal
SA,1d,59598.13399999999,-20790.882499999996,0.45652173913043476,2.299712299892968,46,1671.4939999999997,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr10|am2.5|ex16|mom48|vol48|th0.4|signal
SA,1d,58651.380000000034,-25603.91819999999,0.5121951219512195,2.066131595716052,41,2588.494199999998,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr10|am3|ex16|mom48|vol48|th0.4|signal
SA,1d,58461.74340000003,-23417.69959999999,0.4883720930232558,2.0922319518059913,43,605.7501999999988,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh48|cd4|atr10|am3|ex12|mom48|vol48|th0.4|signal
HC,1d,52330.987,-17415.440000000002,0.5394736842105263,2.0192975109898184,76,17257.152750000005,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3.5|ex16|mom48|vol48|th0.4|signal
FG,1d,51337.30949999998,-14956.608099999994,0.45161290322580644,2.0529221958891957,93,11772.357199999997,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr20|am3|ex8|mom48|vol48|th0.4|signal
HC,1d,51246.25482000014,-20801.784229999976,0.3,2.2732114615896646,100,10299.721200000027,trend_failure|both|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|strict
HC,1d,51246.25482000014,-20801.784229999976,0.3,2.2732114615896646,100,10299.721200000027,trend_failure|both|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|aggressive
HC,1d,51246.25482000014,-20801.784229999976,0.3,2.2732114615896646,100,10299.721200000027,trend_failure|both|1d|w2|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|signal
HC,1d,51174.76741600011,-13167.581344999955,0.2553191489361702,2.2669382582712885,94,10854.831716,swing_reversal|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|strict
HC,1d,51174.76741600011,-13167.581344999955,0.2553191489361702,2.2669382582712885,94,10854.831716,swing_reversal|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|signal
HC,1d,51174.76741600011,-13167.581344999955,0.2553191489361702,2.2669382582712885,94,10854.831716,swing_reversal|both|1d|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|aggressive
RB,1d,51082.21159999998,-9611.450400000009,0.44651162790697674,1.6784402762767578,215,956.949400000004,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2|ex12|mom16|vol24|th0.4|strict
HC,1d,50970.852950000015,-18676.813850000017,0.5263157894736842,1.9998905356913752,76,16878.390800000005,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am3.5|ex16|mom48|vol48|th0.4|signal
RB,1d,50342.896250000005,-9326.141000000003,0.4225352112676056,1.9920073273083625,142,553.5699999999995,tsmom_vol|both|1d|w3|sw0.006|br0.002|lb24|sl0.015|mh64|cd4|atr10|am2.5|ex12|mom24|vol24|th0.4|strict
SP,1d,50270.131630000054,-10595.189679999981,0.28125,3.6402701258282244,32,8688.586250000013,swing_reversal|both|1d|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|strict
FG,1d,49948.071,-13104.964799999994,0.43820224719101125,2.022821874140551,89,9750.872899999998,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3.5|ex8|mom48|vol48|th0.4|signal
SP,1d,49903.419470000044,-10590.022189999989,0.29411764705882354,3.4974440809201917,34,9168.586250000013,swing_reversal|both|1d|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|strict
FG,1d,49762.683999999994,-12864.016499999998,0.4444444444444444,2.0029023145015468,90,7979.6725,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3.5|ex8|mom48|vol48|th0.4|signal
