symbol,timeframe,net_pnl,max_drawdown,win_rate,profit_factor,trade_count,test_net_pnl,strategy_id
HC,1d,24986.85051428571,-3500.476342857144,0.6896551724137931,3.853277088821631,29,8991.679857142854,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
SA,60m,4426.922571428577,-1534.0692857142858,0.6818181818181818,2.906979096955241,22,2656.995714285716,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict
SA,60m,4426.922571428577,-1534.0692857142858,0.6818181818181818,2.906979096955241,22,2656.995714285716,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex8|mom48|vol48|th0.4|signal
SA,60m,5886.7915714285755,-1784.564428571427,0.68,2.7374674990705037,25,1649.783714285716,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
SA,60m,5886.7915714285755,-1784.564428571427,0.68,2.7374674990705037,25,1649.783714285716,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,22943.008571428563,-3274.6603428571434,0.6785714285714286,3.4530483234622027,28,7523.69165714285,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh24|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,22769.383,-3049.200480000003,0.6785714285714286,3.619647333312672,28,9095.664199999996,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
RM,30m,4058.696357142858,-819.2270000000008,0.6666666666666666,3.341969681782201,24,186.55900000000395,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
RM,30m,4058.696357142858,-819.2270000000008,0.6666666666666666,3.341969681782201,24,186.55900000000395,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
RM,30m,3227.826142857143,-1301.336714285715,0.6666666666666666,3.4853595844971337,21,308.8630000000039,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
RM,30m,3227.826142857143,-1301.336714285715,0.6666666666666666,3.4853595844971337,21,308.8630000000039,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,22630.64156,-2823.3844800000024,0.6551724137931034,3.45610626883958,29,7596.267519999992,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh24|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,20236.01392,-4672.367719999999,0.6551724137931034,3.0652932858149375,29,6443.4166399999995,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh24|cd4|atr10|am3.2|ex24|mom48|vol48|th0.4|strict
SA,60m,5627.246428571432,-1534.0692857142858,0.6538461538461539,2.5420752317640853,26,1789.769714285716,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex8|mom48|vol48|th0.4|signal
SA,60m,5627.246428571432,-1534.0692857142858,0.6538461538461539,2.5420752317640853,26,1789.769714285716,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict
HC,1d,26113.689714285705,-5518.468085714287,0.6521739130434783,4.096345706960977,23,5824.207485714276,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh96|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,25386.02897142856,-5518.450085714287,0.6521739130434783,3.9791006725253957,23,5254.207485714276,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh96|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
FG,30m,2073.043571428573,-1319.8752857142827,0.6521739130434783,1.8383405377340938,23,301.148714285713,tsmom_vol|both|30m|w3|sw0.006|br0.002|lb24|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol24|th0.8|strict
CJ,15m,4185.247532500011,-2556.9362124999934,0.65,2.427844416436799,20,2076.975,trend_failure|both|15m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|strict
CJ,15m,4185.247532500011,-2556.9362124999934,0.65,2.427844416436799,20,2076.975,trend_failure|both|15m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|signal
CJ,15m,4185.247532500011,-2556.9362124999934,0.65,2.427844416436799,20,2076.975,trend_failure|both|15m|w3|sw0.004|br0.003|lb24|sl0.015|mh32|cd4|aggressive
HC,1d,24635.906200000005,-3423.442839999998,0.6451612903225806,3.47460223369883,31,7889.407039999999,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr10|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,22645.66817142856,-3407.182542857143,0.6451612903225806,3.148839203157395,31,5872.677685714278,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh24|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
SA,60m,5605.650599999999,-1870.8621999999987,0.64,2.591592517379422,25,1632.3558000000007,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am3|ex16|mom48|vol48|th0.4|signal
SA,60m,5605.650599999999,-1870.8621999999987,0.64,2.591592517379422,25,1632.3558000000007,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am3|ex16|mom48|vol48|th0.4|strict
RM,30m,4004.922499999998,-929.9710000000014,0.64,3.2834268061819785,25,77.79778571428768,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex8|mom48|vol48|th0.4|signal
RM,30m,4004.922499999998,-929.9710000000014,0.64,3.2834268061819785,25,77.79778571428768,donchian_atr|both|30m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict
HC,1d,22134.00884,-4415.941240000004,0.6363636363636364,3.6349402605449397,22,4165.8721199999945,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh96|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
UR,15m,6069.304830000001,-1888.133170000001,0.6363636363636364,2.862810967266365,22,2434.4139999999998,breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|strict
UR,15m,6069.304830000001,-1888.133170000001,0.6363636363636364,2.862810967266365,22,2434.4139999999998,breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|signal
UR,15m,6069.304830000001,-1888.133170000001,0.6363636363636364,2.862810967266365,22,2434.4139999999998,breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|aggressive
SA,60m,3692.9301999999993,-1817.117799999999,0.6363636363636364,2.304185720686944,22,2651.566599999999,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex8|mom48|vol48|th0.4|strict
SA,60m,3692.9301999999993,-1817.117799999999,0.6363636363636364,2.304185720686944,22,2651.566599999999,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr10|am3|ex8|mom48|vol48|th0.4|signal
FG,60m,2421.601199999997,-2765.6388000000043,0.6363636363636364,1.5010367084933616,22,1861.6911999999984,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr10|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,22254.808319999996,-5565.547600000001,0.625,3.313062568321161,24,3927.9645599999976,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh96|cd4|atr10|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,22133.85678571429,-4831.698714285707,0.625,3.601032924201873,24,5518.067714285715,donchian_atr|both|1d|w3|sw0.006|br0.003|lb32|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
SA,60m,3660.6950000000074,-1834.009,0.625,2.033940376207799,24,1742.1687142857163,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict
SA,60m,2663.5618571428636,-2063.986000000001,0.625,1.6058756665224978,24,1602.1827142857162,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
SA,60m,3509.3682857142894,-1846.8540000000003,0.6190476190476191,2.701721701446141,21,2211.298000000003,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
SA,60m,3509.3682857142894,-1846.8540000000003,0.6190476190476191,2.701721701446141,21,2211.298000000003,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|signal
SA,60m,3373.6298571428633,-1995.2894285714274,0.6190476190476191,2.3701030759166155,21,2236.9957142857165,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am3|ex8|mom48|vol48|th0.4|strict
HC,1d,26523.51992857143,-5692.487357142854,0.6153846153846154,3.9823538806801677,26,6704.356714285715,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,24121.03654285713,-5518.468085714287,0.6153846153846154,3.518729963781637,26,5178.176057142848,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh48|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,23493.385799999985,-5518.450085714287,0.6153846153846154,3.430938597398289,26,4708.186057142848,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh48|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
SA,60m,5387.2593999999945,-1563.7806,0.6153846153846154,2.4364297520484848,26,1784.340599999999,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am3|ex8|mom48|vol48|th0.4|signal
SA,60m,5387.2593999999945,-1563.7806,0.6153846153846154,2.4364297520484848,26,1784.340599999999,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr10|am3|ex8|mom48|vol48|th0.4|strict
HC,1d,24327.254360000003,-3049.200480000003,0.6129032258064516,3.5419709062052935,31,8481.421759999994,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh24|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,17629.64508,-4445.92296,0.6086956521739131,2.854862256207957,23,1312.6521199999947,donchian_atr|both|1d|w3|sw0.006|br0.005|lb16|sl0.015|mh96|cd4|atr20|am3.2|ex24|mom48|vol48|th0.4|strict
C,60m,892.2575200000006,-985.1157650000014,0.6086956521739131,1.4027071658948358,23,605.836,breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|strict
C,60m,892.2575200000006,-985.1157650000014,0.6086956521739131,1.4027071658948358,23,605.836,breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|signal
C,60m,892.2575200000006,-985.1157650000014,0.6086956521739131,1.4027071658948358,23,605.836,breakout|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|aggressive
HC,1d,19207.94557142857,-3962.977428571431,0.6071428571428571,2.9620801286603786,28,4146.731357142854,donchian_atr|both|1d|w3|sw0.006|br0.003|lb32|sl0.015|mh32|cd4|atr14|am3|ex16|mom48|vol48|th0.4|strict
HC,1d,18947.730039999995,-3046.202960000006,0.6071428571428571,2.7777180697348496,28,5641.774159999995,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh24|cd4|atr20|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,24957.91502857143,-3280.498342857145,0.6060606060606061,3.237589813013209,33,8442.986828571424,donchian_atr|both|1d|w3|sw0.006|br0.001|lb16|sl0.015|mh24|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,19429.767959999994,-4637.400719999998,0.6060606060606061,2.593543228223038,33,3051.0199199999975,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh24|cd4|atr10|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,22941.090428571424,-5879.032828571429,0.6,3.2800906611144702,25,5377.111371428564,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb24|sl0.015|mh96|cd4|atr14|am3.2|ex12|mom48|vol48|th0.4|strict
HC,1d,22871.486319999996,-5565.547600000001,0.6,3.228172845112163,25,4497.964559999998,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh96|cd4|atr10|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,20244.730999999985,-5538.415085714287,0.6,2.8636972865619366,25,3206.4085142857016,donchian_atr|both|1d|w3|sw0.006|br0.005|lb16|sl0.015|mh96|cd4|atr14|am3.2|ex24|mom48|vol48|th0.4|strict
HC,1d,19541.316039999998,-4369.393960000005,0.6,2.9240402986868816,30,4245.368159999996,donchian_atr|both|1d|w3|sw0.006|br0.0025|lb16|sl0.015|mh24|cd4|atr20|am3.2|ex12|mom48|vol48|th0.4|strict
