symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
SR,1,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,1069.722,-285.1100000000006,1.0,2,2025-11-10 11:15:00,2025-12-26 10:00:00
SR,2,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,12530.6034,1034.339,-540.628999999999,3,-325.257,-345.2569999999996,0.0,1,2025-12-26 11:15:00,2026-02-24 22:00:00
SR,3,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,12448.8689,744.447,-470.39400000000023,3,0.0,0.0,0.0,0,2026-02-24 23:00:00,2026-04-15 10:00:00
SR,4,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,12448.8689,744.447,-470.39400000000023,3,0.0,0.0,0.0,0,2026-04-15 11:15:00,2026-06-05 23:00:00
SP,1,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2026-02-25 10:00:00,2026-03-20 09:30:00
SP,2,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-8546.446193615608,809.5840000000001,-645.0799999999999,2,-130.13200000000006,-755.119999999999,0.5,2,2026-03-20 10:00:00,2026-04-15 13:45:00
SP,3,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,7186.032799591096,679.452,-890.2160000000003,4,-485.064,-510.08200000000033,0.0,1,2026-04-15 14:15:00,2026-05-13 21:30:00
SP,4,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,3304.204375767421,-90.74400000000003,-1645.7079999999987,6,70.22800000000001,-434.59999999999854,0.5,2,2026-05-13 22:00:00,2026-06-05 23:00:00
SR,1,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,-635.444,-925.4439999999995,0.0,1,2026-02-25 10:00:00,2026-03-20 09:30:00
SR,2,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2026-03-20 10:00:00,2026-04-15 13:45:00
SR,3,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,-4300.287699999999,-1176.046,-1511.302999999999,3,-305.423,-355.4519999999993,0.0,1,2026-04-15 14:15:00,2026-05-13 21:30:00
SR,4,30m,trend_pullback,trend_pullback|both|30m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,3191.13058452333,-596.944,-948.5499999999984,5,0.0,0.0,0.0,0,2026-05-13 22:00:00,2026-06-05 23:00:00
SP,1,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,-227.49199999999837,1134.574,-605.3099999999995,1,0.0,0.0,0.0,0,2025-11-10 11:15:00,2025-12-26 10:00:00
SP,2,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,-453.6188000000002,1294.558,-945.4420000000009,1,0.0,0.0,0.0,0,2025-12-26 11:15:00,2026-02-24 22:00:00
SP,3,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,-453.6188000000002,1294.558,-945.4420000000009,1,0.0,0.0,0.0,0,2026-02-24 23:00:00,2026-04-15 10:00:00
SP,4,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb96|sl0.015|mh96|cd4|atr14|am2|ex12|mom48|vol24|th0.4|tq0.2|strict,-453.6188000000002,1294.558,-945.4420000000009,1,395.154,-484.84599999999955,1.0,1,2026-04-15 11:15:00,2026-06-05 23:00:00
CJ,1,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,-280.3675,-605.3675000000003,0.0,1,2025-07-30 11:15:00,2025-10-17 10:00:00
CJ,2,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.3|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2025-10-17 11:15:00,2025-12-29 10:00:00
CJ,3,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,5358.673077491736,585.4324999999999,-1113.737500000001,3,-454.395,-629.3950000000004,0.0,1,2025-12-29 11:15:00,2026-03-20 10:00:00
CJ,4,60m,trend_pullback,trend_pullback|both|60m|w3|sw0.006|br0.0015|lb64|sl0.015|mh64|cd4|atr14|am2|ex12|mom24|vol24|th0.4|tq0.2|strict,2729.936389984576,131.0374999999999,-1597.4850000000024,4,45.375,-679.625,1.0,1,2026-03-20 11:15:00,2026-06-05 15:00:00
CJ,1,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2020-09-25 00:00:00,2022-03-01 00:00:00
CJ,2,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2022-03-02 00:00:00,2023-07-27 00:00:00
CJ,3,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2023-07-28 00:00:00,2024-12-25 00:00:00
CJ,4,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2024-12-26 00:00:00,2026-06-05 00:00:00
SP,1,1d,trend_pullback,trend_pullback|both|1d|w3|sw0.006|br0.0015|lb80|sl0.015|mh64|cd4|atr14|am2|ex12|mom20|vol24|th0.4|tq0.2|strict,-17000.0,0.0,0.0,0,0.0,0.0,0.0,0,2020-06-01 00:00:00,2021-11-26 00:00:00
