symbol,status,selected_strategy_id,pattern,timeframe,windows,positive_windows,positive_rate,total_test_net_pnl,avg_test_net_pnl,min_window_net_pnl,worst_test_drawdown,avg_test_win_rate,total_test_trades,walk_forward_score,reason,params_json
RB,active,donchian_atr|both|1d|w3|sw0.006|br0.001|lb24|sl0.015|mh24|cd4|atr20|am3.2|ex16|mom48|vol48|th0.4|strict,donchian_atr,1d,4,4,1.0,12936.551000000001,3234.1377500000003,2883.563,-6209.825000000001,0.5217391304347826,46,42156.14760611084,"walk-forward positive, stable, and reward/drawdown qualified","{""atr_mult"": 3.2, ""atr_period"": 20, ""breakout_pct"": 0.001, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 24, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
SR,active,vol_breakout|both|1d|w3|sw0.006|br0.003|lb16|sl0.015|mh64|cd4|atr14|am2|ex16|mom48|vol48|th0.75|strict,vol_breakout,1d,4,4,1.0,9668.438000000002,2417.1095000000005,114.28,-3693.777,0.6923076923076923,13,39692.21784738633,"walk-forward positive, stable, and reward/drawdown qualified","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.75, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
SP,observe,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am2|ex16|mom48|vol48|th0.9|strict,vol_breakout,1d,4,2,0.5,11906.814000000002,2976.7035000000005,-891.9459999999999,-2406.127999999999,0.5,10,34165.988240000006,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.9, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
C,active,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,donchian_atr,60m,4,4,1.0,1489.997,372.49925,132.83400000000006,-589.101999999999,0.6153846153846154,13,26061.67822060222,"walk-forward positive, stable, and reward/drawdown qualified","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
CS,observe,donchian_atr|both|60m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,donchian_atr,60m,4,4,1.0,882.2429999999999,220.56074999999998,62.152000000000015,-550.1690000000017,0.3888888888888889,18,22615.01376196156,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 32, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
HC,observe,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb24|sl0.015|mh24|cd4|atr14|am3|ex24|mom48|vol48|th0.4|strict,donchian_atr,1d,4,2,0.5,7996.256999999998,1999.0642499999994,-781.307,-6620.422,0.5238095238095238,21,22001.79292238439,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 24, ""max_hold_bars"": 24, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
CS,active,trend_failure|short|15m|w3|sw0.004|br0.003|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,trend_failure,15m,4,3,0.75,1237.454,309.3635,-302.7,-512.6999999999998,0.5833333333333334,12,20695.392007871615,"walk-forward positive, stable, and reward/drawdown qualified","{""atr_mult"": 2.5, ""atr_period"": 14, ""breakout_pct"": 0.003, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 64, ""min_swing_pct"": 0.004, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_failure"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""short"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""15m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
FG,observe,vol_breakout|both|1d|w3|sw0.006|br0.0015|lb16|sl0.015|mh64|cd4|atr14|am3|ex16|mom48|vol48|th0.9|strict,vol_breakout,1d,4,3,0.75,5754.0419999999995,1438.5104999999999,-1926.094,-4464.396000000001,0.4444444444444444,9,19576.93990645527,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 16, ""max_hold_bars"": 64, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""vol_breakout"", ""range_lookback"": 16, ""risk_mode"": ""strict"", ""score_threshold"": 0.9, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
RM,observe,trend_failure|short|60m|w3|sw0.004|br0.0015|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,trend_failure,60m,4,3,0.75,1410.221,352.55525,-1126.627,-1310.9050000000016,0.4117647058823529,17,16794.45555531043,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 2.5, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 12, ""max_hold_bars"": 32, ""min_swing_pct"": 0.004, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""trend_failure"", ""range_lookback"": 24, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""short"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""60m"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
UR,observe,donchian_atr|both|1d|w3|sw0.006|br0.0015|lb32|sl0.015|mh24|cd4|atr14|am3|ex24|mom48|vol48|th0.4|strict,donchian_atr,1d,4,1,0.25,3106.138,776.5345,0.0,-1280.0,0.75,4,16726.45082501251,"walk-forward rejected: requires positive_rate>=75%, avg_win_rate>50%, net/max_drawdown>=1.2, net>=500, and drawdown<=80% capital","{""atr_mult"": 3.0, ""atr_period"": 14, ""breakout_pct"": 0.0015, ""cooldown_bars"": 4, ""exit_lookback"": 24, ""max_hold_bars"": 24, ""min_swing_pct"": 0.006, ""momentum_lookback"": 48, ""news_weight"": 0.2, ""pattern"": ""donchian_atr"", ""range_lookback"": 32, ""risk_mode"": ""strict"", ""score_threshold"": 0.4, ""side"": ""both"", ""stop_loss_pct"": 0.015, ""swing_window"": 3, ""timeframe"": ""1d"", ""trend_quality_threshold"": 0.25, ""vol_lookback"": 48, ""volume_threshold"": 1.2}"
