symbol,window,timeframe,pattern,selected_strategy_id,train_score,train_net_pnl,train_max_drawdown,train_trade_count,test_net_pnl,test_max_drawdown,test_win_rate,test_trade_count,test_start,test_end
SP,1,60m,trend_failure,trend_failure|both|60m|w3|sw0.006|br0.0015|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,5335.015619819822,-1325.8019999999997,-3519.982,5,78.37399999999994,-2292.2980000000007,0.25,4,2025-11-10 11:15:00,2025-12-26 10:00:00
SP,2,60m,donchian_atr,donchian_atr|both|60m|w3|sw0.006|br0.003|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,1064.6091497688585,2157.2799999999997,-3851.166,8,-1221.634,-1827.0560000000005,0.25,4,2025-12-26 11:15:00,2026-02-24 22:00:00
SP,3,60m,trend_failure,trend_failure|short|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,2635.6110822079577,-257.29200000000014,-3170.495999999999,7,204.688,-2610.3680000000004,0.6666666666666666,3,2026-02-24 23:00:00,2026-04-15 10:00:00
SP,4,60m,trend_failure,trend_failure|short|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,7065.3544034178285,-52.60400000000021,-3170.495999999999,10,725.088,-729.8560000000016,1.0,3,2026-04-15 11:15:00,2026-06-05 23:00:00
SR,1,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,18470.793749999997,668.817,-330.58600000000115,4,493.916,-371.367000000002,0.6666666666666666,3,2026-04-14 09:30:00,2026-04-24 22:30:00
SR,2,15m,trend_failure,trend_failure|both|15m|w3|sw0.006|br0.0015|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,23393.472149999998,913.962,-580.7049999999999,3,-600.903,-636.4009999999989,0.0,2,2026-04-24 22:45:00,2026-05-13 09:45:00
SR,3,15m,trend_failure,trend_failure|short|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,14577.429881687318,563.919,-886.1560000000009,3,823.8519999999999,-250.0,1.0,3,2026-05-13 10:00:00,2026-05-25 23:00:00
SR,4,15m,trend_failure,trend_failure|short|15m|w3|sw0.008|br0.003|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,23631.0719,1723.2079999999999,-690.7579999999998,5,0.0,0.0,0.0,0,2026-05-26 09:15:00,2026-06-05 23:00:00
SR,1,60m,trend_failure,trend_failure|both|60m|w3|sw0.006|br0.0015|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,14433.213113007754,263.53499999999997,-576.3880000000008,3,1423.7140000000002,-935.3960000000006,0.6,5,2025-11-10 11:15:00,2025-12-26 10:00:00
SR,2,60m,trend_failure,trend_failure|short|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,16898.5812760753,1549.099,-855.3899999999994,4,-445.60799999999995,-1060.7570000000014,0.3333333333333333,3,2025-12-26 11:15:00,2026-02-24 22:00:00
SR,3,60m,trend_failure,trend_failure|short|60m|w3|sw0.008|br0.0015|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,10142.9186563932,1098.6749999999997,-1496.196,6,-566.1460000000001,-1740.8770000000004,0.3333333333333333,3,2026-02-24 23:00:00,2026-04-15 10:00:00
SR,4,60m,trend_failure,trend_failure|short|60m|w3|sw0.008|br0.003|lb24|sl0.015|mh32|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,8409.292406787836,837.8619999999999,-2652.4979999999996,8,219.23699999999997,-626.1219999999994,0.5,2,2026-04-15 11:15:00,2026-06-05 23:00:00
SP,1,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh32|cd4|atr14|am2|ex12|mom48|vol48|th0.4|strict,-19908.1538,-715.142,-1005.2660000000005,3,544.722,-450.2540000000008,0.6666666666666666,3,2026-04-14 09:30:00,2026-04-24 22:30:00
SP,2,15m,donchian_atr,donchian_atr|both|15m|w3|sw0.006|br0.0015|lb32|sl0.015|mh64|cd4|atr14|am3|ex12|mom48|vol48|th0.4|strict,9349.782817644116,149.65200000000004,-1440.3319999999994,6,-830.15,-880.3780000000006,0.0,2,2026-04-24 22:45:00,2026-05-13 09:45:00
SP,3,15m,vol_breakout,vol_breakout|both|15m|w3|sw0.006|br0.0015|lb16|sl0.015|mh32|cd4|atr14|am2|ex16|mom48|vol48|th0.9|strict,-647.1611972974297,-470.384,-865.2620000000006,6,0.0,0.0,0.0,0,2026-05-13 10:00:00,2026-05-25 23:00:00
SP,4,15m,trend_failure,trend_failure|short|15m|w3|sw0.008|br0.0015|lb24|sl0.015|mh64|cd4|atr14|am2.5|ex12|mom48|vol48|th0.4|strict,9611.77766538417,480.03200000000004,-1550.134,4,-304.87,-764.8699999999999,0.0,1,2026-05-26 09:15:00,2026-06-05 23:00:00
